date,unifiedScreenClass,screenPageViews,activeUsers,screenPageViewsPerUser,sessions,engagedSessions,sessionsPerUser,averageSessionDuration,screenPageViewsPerSession,bounceRate
2024-01-02,KADAI INFO,114,19,6,22,17,1.157894737,158.8447607,5.181818182,0.2272727273
2024-01-02,【インスタ】エモい！おしゃれ！面白い！使えるストーリーエフェクト8選 ,41,36,1.138888889,40,19,1.111111111,77.67168542,1.025,0.525
2024-01-02,About Us,28,6,4.666666667,8,7,1.333333333,399.5289964,3.5,0.125
2024-01-02,【2020年度版】鹿児島のおすすめ古着屋まとめ ,28,21,1.333333333,25,16,1.19047619,82.90327648,1.12,0.36
2024-01-02,22時過ぎでも行ける！鹿児島市内の銭湯７選【深夜営業あり】 ,26,25,1.04,26,16,1.04,40.06485585,1,0.3846153846
2024-01-02,【激辛】韓国の辛いインスタントラーメン3種類食べ比べてみた。 ,23,22,1.045454545,23,8,1.045454545,55.45489004,1,0.652173913
2024-01-02,【デカ盛り】鹿児島の二郎系ラーメン店まとめ！！ ,22,22,1,22,15,1,102.5956561,1,0.3181818182
2024-01-02,【満腹】鹿児島市内オススメ「つけ麺」8選！！ ,22,22,1,22,11,1,24.94445123,1,0.5
2024-01-02,【注目】鹿児島市内オススメ「まぜそば」10選 ,21,18,1.166666667,21,13,1.166666667,63.45942576,1,0.380952381
2024-01-02,【YouTuberランキング】大学生に聞いた！好きなユーチューバーTOP5！ ,20,20,1,20,11,1,78.41700095,1,0.45
2024-01-02,車なしでも楽しめる！サクラジマアイランドビューで桜島1日満喫してみた✨ ,20,16,1.25,16,12,1,90.11923975,1.25,0.25
2024-01-02,【一目でわかる！】鹿児島市の天文館のカラオケ店の料金比較まとめ(2017/08/04更新) ,19,18,1.055555556,19,11,1.055555556,87.25605358,1,0.4210526316
2024-01-02,【天文同好会に聞いた！】鹿児島の星が綺麗に見える場所５選 ,19,14,1.357142857,17,10,1.214285714,69.89198888,1.117647059,0.4117647059
2024-01-02,【接客英語】飲食店アルバイトで使える簡単・便利フレーズまとめ！ ,15,11,1.363636364,14,5,1.272727273,87.24604843,1.071428571,0.6428571429
2024-01-02,【コスパ最強！】鹿児島市内の焼肉食べ放題のお店4選 ,14,10,1.4,10,7,1,111.8513364,1.4,0.3
2024-01-02,【癒されたい！】鹿児島市内の動物カフェ3選【猫カフェ】【うさぎカフェ】 ,14,11,1.272727273,11,7,1,101.4124885,1.272727273,0.3636363636
2024-01-02,【ことわざ検証】二階から目薬は意外と簡単だった⁉ ,13,3,4.333333333,3,3,1,79.46191,4.333333333,0
2024-01-02,【アミュプラザ鹿児島スイーツ４選】リニューアルしたアミュ地下に潜入！ ,12,12,1,12,9,1,110.2050394,1,0.25
2024-01-02,ピアスをあけようとしている君へ ,12,9,1.333333333,9,8,1,55.46171211,1.333333333,0.1111111111
2024-01-02,【マジで誰得】大好物チュロッキーをお店ごとに食べ比べてみた！！ ,11,10,1.1,10,5,1,169.8653035,1.1,0.5
2024-01-02,【先輩おしえて！】大学生がカンタンにあか抜ける５つの方法！ ,11,11,1,11,5,1,15.08308936,1,0.5454545455
2024-01-02,【初めての海外旅行】パスポート取得から始める、出発前にやること準備リスト ,11,4,2.75,6,5,1.5,114.9723245,1.833333333,0.1666666667
2024-01-02,鹿児島大学サークル・部活INFO ,11,4,2.75,4,3,1,37.14371925,2.75,0.25
2024-01-02,絶対に外さない！鹿児島市内の絶品焼き鳥名店４選 ,9,8,1.125,8,6,1,69.97319213,1.125,0.25
2024-01-02,"【目指せ！""坂口健太郎""】鹿児島のおすすめメンズセレクトショップ3選 ",8,6,1.333333333,8,6,1.333333333,122.6951851,1,0.25
2024-01-02,スイーツ天国♡ケーキバイキングが楽しめる鹿児島市内のお店 3選♪ ,8,7,1.142857143,7,6,1,31.95445643,1.142857143,0.1428571429
2024-01-02,☆三井住友海上☆鹿児島支店ワークショップ参加者募集！ ,7,2,3.5,2,2,1,84.201161,3.5,0
2024-01-02,【最新速報】今、話題のThreadsでバズる秘訣～5選～ ,7,4,1.75,6,3,1.5,152.5155453,1.166666667,0.5
2024-01-02,【美女の楽園！？】知られざる女子寮の謎を暴く！ ,7,4,1.75,4,4,1,208.9544528,1.75,0
2024-01-02, ,6,3,2,3,3,1,34.523386,2,0
2024-01-02,【オタ活】鹿児島でオタ活するなら！激推しフォトスポット3選 ,5,4,1.25,5,3,1.25,17.3163184,1,0.4
2024-01-02,【夏にもお芋はいかが？】鹿児島のさつまいもスイーツ店４選🍠  ,5,5,1,5,4,1,29.6271908,1,0.2
2024-01-02,【激戦区】鹿児島中央駅周辺ラーメン店10選 ,5,5,1,5,3,1,37.4928676,1,0.4
2024-01-02,【熊本編】鹿児島から行く九州のおすすめ観光地 ,5,2,2.5,2,1,1,60.032721,2.5,0.5
2024-01-02,【地元でなにする？】個人的おすすめ大学生の帰省ルーティン ,4,4,1,4,3,1,28.58008675,1,0.25
2024-01-02,【美女チアリーダー】鹿大生がサッカーを見るべきたった3つの理由。【鹿児島ユナイテッドFC】 ,4,4,1,4,3,1,57.1289925,1,0.25
2024-01-02,ボシューINFO,4,2,2,2,2,1,22.9797,2,0
2024-01-02,Members,3,2,1.5,2,2,1,32.236533,1.5,0
2024-01-02,【シティポップ】夜に聞きたくなるエモいアーティスト５選 ,3,3,1,3,3,1,59.14539367,1,0
2024-01-02,【ジェンダー学×留学】あなたの学生生活を教えてください！ / 東莉子 ,3,1,3,1,1,1,175.298665,3,0
2024-01-02,【朝ごはんを食べよう】鹿児島市内で食べられるモーニング【2022年版】 ,3,3,1,3,3,1,184.4369463,1,0
2024-01-02,【検証】学生のうちに我が身を抓って人の痛さを知れ３選【鹿児島医療脱毛】 ,3,3,1,3,1,1,2.380099,1,0.6666666667
2024-01-02,【鹿児島中央駅・天文館】朝カフェ・モーニング特集 ,3,3,1,3,2,1,20.784758,1,0.3333333333
2024-01-02,外出先で困らない！鹿児島市内の充電が出来るカフェ５選 ,3,3,1,3,0,1,2.670591,1,1
